PR URL,PR Title,PR createdAt,PR mergedAt,PR state,stars,fork,collaborators,language
https://github.com/zhiqwang/yolort/pull/252,Fix `register_nms` in `YOLOGraphSurgeon`,2021-12-24T17:42:14Z,2021-12-24T18:40:15Z,MERGED,729,False,33,Python
https://github.com/scaleapi/llm-engine/pull/366,count prompt tokens,2023-11-07T08:58:56Z,2023-11-15T22:40:18Z,MERGED,799,False,28,Python
https://github.com/rdnfn/feedback-forensics/pull/26,Staging,2025-04-10T10:41:08Z,2025-04-14T19:35:27Z,MERGED,19,False,2,Python
https://github.com/open-mmlab/Amphion/pull/249,Add PicoAudio Model,2024-07-19T07:51:41Z,2025-01-02T03:58:11Z,MERGED,9075,False,31,Python
https://github.com/ollama/ollama/pull/6279,feat: Introduce K/V Context Quantisation (vRAM improvements),2024-08-09T07:22:10Z,2024-12-03T23:57:19Z,MERGED,141320,False,100,Go
https://github.com/neo4j-contrib/neo4j-apoc-procedures/pull/4192,Fixes #4145: Add support for huggingface models,2024-09-18T08:44:10Z,2024-10-07T08:42:25Z,MERGED,1786,False,100,Java
https://github.com/mozilla-ai/speech-to-text-alignment/pull/4,Add GH action to sync to HF space,2025-04-17T13:26:57Z,2025-04-17T13:29:14Z,MERGED,2,False,2,
https://github.com/mozilla-ai/any-agent/pull/262,"Clean up evaluation code ""ground truth"" criteria",2025-05-14T20:06:09Z,2025-05-19T10:18:48Z,MERGED,418,False,8,Python
https://github.com/mlflow/mlflow/pull/12799,Add Huggingfaces Evaluate BLEU metrics,2024-07-26T10:08:46Z,2024-10-31T06:29:39Z,MERGED,20605,False,100,Python
https://github.com/llm-proxy/llm-proxy/pull/211,Proficiency routing,2024-03-29T01:52:16Z,2024-03-31T23:28:55Z,MERGED,23,False,11,Python
https://github.com/langchain-ai/langchain/pull/16568,community: Add Baichuan Text Embedding Model and Baichuan Inc introduction,2024-01-25T09:49:50Z,2024-01-26T20:57:26Z,MERGED,107945,False,100,Jupyter Notebook
https://github.com/langchain-ai/langchain/pull/14689,python-lint,2023-12-13T23:38:54Z,2024-01-02T00:25:04Z,MERGED,107945,False,100,Jupyter Notebook
https://github.com/k2-fsa/sherpa-onnx/pull/598,Refactor WebAssembly build script.,2024-02-21T08:47:41Z,2024-02-21T08:51:15Z,MERGED,6054,False,100,C++
https://github.com/k2-fsa/sherpa-onnx/pull/565,Add fine-tuned whisper model on aishell,2024-01-31T09:23:23Z,2024-01-31T09:23:42Z,MERGED,6054,False,100,C++
https://github.com/k2-fsa/sherpa-onnx/pull/2136,Support Giga AM transducer V2,2025-04-20T02:14:02Z,2025-04-20T02:15:20Z,MERGED,6054,False,100,C++
https://github.com/k2-fsa/sherpa-onnx/pull/2093,Add Javascript (WebAssembly) API for Dolphin CTC models,2025-04-03T07:01:21Z,2025-04-03T07:02:06Z,MERGED,6054,False,100,C++
https://github.com/k2-fsa/sherpa-onnx/pull/1942,Add Kokoro v1.1-zh,2025-02-28T07:44:58Z,2025-02-28T07:47:59Z,MERGED,6054,False,100,C++
https://github.com/k2-fsa/sherpa-onnx/pull/1867,Add C++ and Python API for FireRedASR AED models,2025-02-16T14:45:02Z,2025-02-16T14:45:25Z,MERGED,6054,False,100,C++
